PS C:\Users\emilj\Documents\Thesis\All_In_One_Pipeline> (Set-ExecutionPolicy -Scope Process -ExecutionPolicy RemoteSigned) ; (& c:\Users\emilj\Documents\Thesis\All_In_One_Pipeline\.final_Pipeline_venv\Scripts\Activpython C:\Users\emilj\Documents\Thesis\All_In_One_Pipeline\Pipeline_3_Rev1\runtime\run_pipeline.py --source simconnect --run-id live_022_Odense_1ftž                  
[run_pipeline] run_id=live_022_Odense_1ftž  source=simconnect
[run_pipeline] output: C:\Users\emilj\Documents\Thesis\All_In_One_Pipeline\Pipeline_3_Rev1\outputs\runs\live_022_Odense_1ftž
[SimConnectLiveSource] Connecting to MSFS 2020...
[SimConnectLiveSource] Connected. Capture region: {'top': 74, 'left': -1920, 'width': 1920, 'height': 1009}
[run_pipeline] Waiting for first valid SimConnect sample...
[run_pipeline] WMM2025 dec=4.47°  inc=70.27°
[run_pipeline] EKF bootstrapped: (55.366816, 10.272585)  yaw=94.6°
  F   0 | gate=fail | (55.366816, 10.272585) | 2.8s
  F   1 | gate=PASS | (55.366703, 10.273695) | 5.4s
  F   2 | gate=PASS | (55.366480, 10.276088) | 7.9s
  F   3 | gate=PASS | (55.366267, 10.278444) | 10.6s
  F   4 | gate=PASS | (55.366040, 10.281256) | 12.9s
  F   5 | gate=PASS | (55.365841, 10.283540) | 15.0s
  F   6 | gate=PASS | (55.365691, 10.285586) | 17.5s
  F   7 | gate=PASS | (55.365511, 10.288118) | 19.9s
  F   8 | gate=PASS | (55.365351, 10.290290) | 22.4s
  F   9 | gate=PASS | (55.365141, 10.293171) | 24.7s
  F  10 | gate=PASS | (55.364960, 10.295608) | 26.9s
  F  11 | gate=fail | (55.364769, 10.297885) | 28.6s
  F  12 | gate=fail | (55.364627, 10.299592) | 30.4s
  F  13 | gate=fail | (55.364469, 10.301511) | 32.3s
  F  14 | gate=PASS | (55.364391, 10.303541) | 34.6s
  F  15 | gate=PASS | (55.364283, 10.305722) | 37.0s
  F  16 | gate=PASS | (55.364094, 10.308599) | 39.4s
  F  17 | gate=PASS | (55.363918, 10.311104) | 41.7s
  F  18 | gate=PASS | (55.363754, 10.313655) | 44.1s
  F  19 | gate=PASS | (55.363593, 10.316288) | 46.1s
  F  20 | gate=PASS | (55.363471, 10.318296) | 48.9s
  F  21 | gate=PASS | (55.363292, 10.321264) | 51.2s
  F  22 | gate=PASS | (55.363128, 10.323726) | 53.5s
  F  23 | gate=PASS | (55.362974, 10.326170) | 56.4s
  F  24 | gate=PASS | (55.362725, 10.329178) | 59.1s
  F  25 | gate=PASS | (55.362544, 10.331777) | 61.7s
  F  26 | gate=PASS | (55.362480, 10.334041) | 64.5s
  F  27 | gate=PASS | (55.362598, 10.337062) | 67.1s
  F  28 | gate=PASS | (55.362931, 10.339875) | 69.9s
  F  29 | gate=PASS | (55.363494, 10.343084) | 72.7s
  F  30 | gate=PASS | (55.364051, 10.346043) | 75.4s
  F  31 | gate=PASS | (55.364630, 10.349039) | 78.0s
  F  32 | gate=PASS | (55.365084, 10.351632) | 80.9s
  F  33 | gate=PASS | (55.365624, 10.354459) | 83.5s
  F  34 | gate=PASS | (55.366130, 10.356735) | 86.3s
  F  35 | gate=PASS | (55.366947, 10.359071) | 89.2s
  F  36 | gate=PASS | (55.367968, 10.361380) | 91.8s
  F  37 | gate=PASS | (55.369043, 10.363259) | 94.4s
  F  38 | gate=PASS | (55.370322, 10.365058) | 97.2s
  F  39 | gate=PASS | (55.371651, 10.366568) | 99.9s
  F  40 | gate=PASS | (55.373356, 10.367986) | 102.9s
  F  41 | gate=PASS | (55.375018, 10.369324) | 105.7s
  F  42 | gate=PASS | (55.376778, 10.370666) | 108.5s
  F  43 | gate=PASS | (55.378392, 10.371699) | 110.8s
  F  44 | gate=PASS | (55.379715, 10.372374) | 113.4s
  F  45 | gate=PASS | (55.381363, 10.373352) | 116.3s
  F  46 | gate=fail | (55.382945, 10.374828) | 119.0s
  F  47 | gate=fail | (55.384289, 10.376303) | 121.8s
  F  48 | gate=fail | (55.385633, 10.377865) | 124.5s
  F  49 | gate=PASS | (55.387408, 10.379159) | 127.8s
  F  50 | gate=PASS | (55.389050, 10.380966) | 130.9s
  F  51 | gate=PASS | (55.390393, 10.382641) | 134.2s
  F  52 | gate=PASS | (55.391930, 10.384749) | 137.1s
  F  53 | gate=PASS | (55.393284, 10.386670) | 139.9s
  F  54 | gate=PASS | (55.394613, 10.388747) | 142.5s
  F  55 | gate=PASS | (55.396018, 10.390867) | 145.3s
  F  56 | gate=PASS | (55.397222, 10.393027) | 147.8s
  F  57 | gate=PASS | (55.398206, 10.394957) | 150.6s
  F  58 | gate=PASS | (55.399223, 10.397110) | 153.4s
  F  59 | gate=PASS | (55.400187, 10.399280) | 156.5s
  F  60 | gate=PASS | (55.401267, 10.401397) | 159.4s
  F  61 | gate=fail | (55.402623, 10.403513) | 162.0s
  F  62 | gate=PASS | (55.403586, 10.404940) | 165.3s
  F  63 | gate=PASS | (55.405282, 10.406695) | 168.5s
  F  64 | gate=fail | (55.407135, 10.407987) | 171.4s
  F  65 | gate=PASS | (55.408928, 10.408726) | 174.1s
  F  66 | gate=PASS | (55.410429, 10.408956) | 176.7s
  F  67 | gate=fail | (55.412110, 10.408596) | 179.6s
  F  68 | gate=PASS | (55.413603, 10.407848) | 182.8s
  F  69 | gate=PASS | (55.415394, 10.406187) | 186.1s
  F  70 | gate=fail | (55.416781, 10.404095) | 188.6s
  F  71 | gate=PASS | (55.417692, 10.402098) | 191.3s
  F  72 | gate=PASS | (55.418381, 10.399855) | 194.3s
  F  73 | gate=PASS | (55.418824, 10.397072) | 197.1s
  F  74 | gate=PASS | (55.418932, 10.394375) | 200.1s
  F  75 | gate=PASS | (55.418753, 10.391363) | 202.8s
  F  76 | gate=fail | (55.418304, 10.388844) | 205.3s
  F  77 | gate=PASS | (55.417772, 10.385249) | 208.1s
  F  78 | gate=PASS | (55.416977, 10.383238) | 210.9s
  F  79 | gate=PASS | (55.416120, 10.380507) | 213.8s
  F  80 | gate=PASS | (55.415163, 10.377512) | 216.9s
  F  81 | gate=PASS | (55.414094, 10.374316) | 219.8s
  F  82 | gate=PASS | (55.412944, 10.371377) | 222.6s
  F  83 | gate=PASS | (55.411673, 10.369531) | 225.8s
  F  84 | gate=PASS | (55.410174, 10.367709) | 228.7s
  F  85 | gate=PASS | (55.408698, 10.366067) | 231.4s
  F  86 | gate=PASS | (55.407421, 10.364421) | 234.4s
  F  87 | gate=PASS | (55.406121, 10.362116) | 237.7s
  F  88 | gate=PASS | (55.404573, 10.359662) | 240.3s
  F  89 | gate=PASS | (55.403236, 10.357758) | 242.9s
  F  90 | gate=fail | (55.401938, 10.356523) | 246.0s
  F  91 | gate=PASS | (55.400230, 10.355408) | 249.0s
  F  92 | gate=PASS | (55.398499, 10.354680) | 251.8s
  F  93 | gate=PASS | (55.396746, 10.354579) | 254.4s
  F  94 | gate=PASS | (55.395301, 10.354998) | 257.1s
  F  95 | gate=fail | (55.393673, 10.355634) | 259.8s
  F  96 | gate=fail | (55.392114, 10.356616) | 262.6s
  F  97 | gate=PASS | (55.390472, 10.358643) | 265.3s
  F  98 | gate=fail | (55.389043, 10.360124) | 268.0s
  F  99 | gate=PASS | (55.387764, 10.361310) | 270.7s
  F 100 | gate=PASS | (55.386338, 10.363537) | 273.4s
  F 101 | gate=PASS | (55.385228, 10.365686) | 276.1s
  F 102 | gate=fail | (55.383898, 10.367288) | 279.0s
  F 103 | gate=fail | (55.382550, 10.368951) | 281.8s
  F 104 | gate=fail | (55.381231, 10.370611) | 284.5s
  F 105 | gate=fail | (55.380060, 10.372134) | 287.0s
  F 106 | gate=fail | (55.378791, 10.373983) | 289.4s
  F 107 | gate=fail | (55.377693, 10.375635) | 292.0s
