python C:\Users\emilj\Documents\Thesis\All_In_One_Pipeline\Pipeline_3_Rev1\runtime\run_pipeline.py --source simconnect --run-id live_023_Odense_1ft 
[run_pipeline] run_id=live_023_Odense_1ft  source=simconnect
[run_pipeline] output: C:\Users\emilj\Documents\Thesis\All_In_One_Pipeline\Pipeline_3_Rev1\outputs\runs\live_023_Odense_1ft
[SimConnectLiveSource] Connecting to MSFS 2020...
[SimConnectLiveSource] Connected. Capture region: {'top': 74, 'left': -1920, 'width': 1920, 'height': 1009}
[run_pipeline] Waiting for first valid SimConnect sample...
[run_pipeline] WMM2025 dec=4.47°  inc=70.27°
[run_pipeline] EKF bootstrapped: (55.366790, 10.272927)  yaw=94.9°
  F   0 | gate=PASS | (55.366849, 10.272619) | 3.1s
  F   1 | gate=PASS | (55.366870, 10.272541) | 5.3s
  F   2 | gate=PASS | (55.366595, 10.274712) | 7.5s
  F   3 | gate=PASS | (55.366385, 10.276772) | 9.8s
  F   4 | gate=PASS | (55.366171, 10.278983) | 12.2s
  F   5 | gate=PASS | (55.365956, 10.281367) | 14.3s
  F   6 | gate=PASS | (55.365771, 10.283382) | 16.1s
  F   7 | gate=PASS | (55.365628, 10.284980) | 17.8s
  F   8 | gate=PASS | (55.365503, 10.286881) | 19.9s
  F   9 | gate=PASS | (55.365341, 10.289101) | 21.9s
  F  10 | gate=PASS | (55.365191, 10.291136) | 24.0s
  F  11 | gate=PASS | (55.365031, 10.293311) | 25.9s
  F  12 | gate=PASS | (55.364902, 10.295052) | 27.5s
  F  13 | gate=fail | (55.364748, 10.296832) | 29.1s
  F  14 | gate=fail | (55.364598, 10.298600) | 30.6s
  F  15 | gate=fail | (55.364478, 10.300032) | 32.0s
  F  16 | gate=fail | (55.364367, 10.301376) | 33.6s
  F  17 | gate=PASS | (55.364248, 10.303216) | 35.3s
  F  18 | gate=PASS | (55.364186, 10.305182) | 36.9s
  F  19 | gate=PASS | (55.364121, 10.306824) | 38.7s
  F  20 | gate=PASS | (55.363997, 10.308738) | 40.9s
  F  21 | gate=PASS | (55.363836, 10.311011) | 42.5s
  F  22 | gate=PASS | (55.363745, 10.312524) | 44.5s
  F  23 | gate=PASS | (55.363319, 10.314955) | 46.4s
